workbook_row,iranian_year,gregorian_calendar_year_proxy,workbook_GDP_PPP_input_IRR_per_intl_dollar,workbook_line_IRR_exact_30_day,WDI_CPI_FP_CPI_TOTL_2010_100,WDI_calendar_CPI_ratio_to_2021,WDI_calendar_effective_factor_IRR_per_2021_intl_dollar,WDI_calendar_line_IRR_nearest_365_over_12,selected_CPI_factor,selected_effective_factor_IRR_per_2021_intl_dollar,corrected_line_IRR_exact_365_over_12,corrected_line_IRR_nearest,difference_from_workbook_IRR_exact,difference_from_workbook_percent,status
1,1369,1990,96.673921771269704,24071.806521046157,2.97421701244274,0.0028829500166295788867350212715911638558077433161038,138.44226662532753477212024587852454320256557102159,34951,0.002915893456382291,140.02424496123095003756640625,35350.287509170763594900618977864583333333333333334,35350,11278.480988124606594900618977864583333333333333334,46.853488034908173356651192786015471490333902273550,PIP survey-specific CPI factor
2,1370,1991,117.466494532144,29249.157138503859,3.48365779420319,0.0033767580690022705196338911095123978701002826217275,162.15544432663131006465047548865346998093165264950,40937,0.0033767580690022705196338911095123978701002826217275,162.15544432663131006465047548865346998093165264950,40937.493215627462820071551291072973942269370141804,40937,11688.336077123603820071551291072973942269370141804,39.961274855804206730423169068083424602218415143986,WDI calendar-year CPI proxy; PIP survey factor unavailable
3,1371,1992,148.54777679894201,36988.396422936559,4.38271053462994,0.0042482224248716515982208807596687283437739474145209,204.00407160556890010194452601352214581203975032951,51503,0.0042482224248716515982208807596687283437739474145209,204.00407160556890010194452601352214581203975032951,51502.527910755915238236745129830445061464535301937,51503,14514.131487819356238236745129830445061464535301937,39.239688365671137786412521699585340873148371572054,WDI calendar-year CPI proxy; PIP survey factor unavailable
4,1372,1993,217.51263009152501,54160.644892789736,5.31196046633819,0.0051489573392587740017624687349229353251774394431263,247.25830163280625761408089935081273097022307321647,62422,0.0051489573392587740017624687349229353251774394431263,247.25830163280625761408089935081273097022307321647,62422.418733048879786821507048607264039524233359109,62422,8261.773840259143786821507048607264039524233359109,15.254201379273111235347826609223967450046980078576,WDI calendar-year CPI proxy; PIP survey factor unavailable
5,1373,1994,285.22772122241003,71021.702584380095,6.98241418404714,0.0067681514172634213948845011638476175904951185046687,325.01369002741296934138669183253582839048442729982,82052,0.0068454910445837095,328.727619594147635855767578125,82990.026963372521902087323160807291666666666666668,82990,11968.324378992426902087323160807291666666666666668,16.851643854599224523679695848551457653310818020618,PIP survey-specific CPI factor
6,1374,1995,385.35625211913202,95953.706777663887,10.4496007830059,0.010128943727074220438612641743433433465797338122254,486.40244194588191240302714079836682161639820744813,122796,0.010128943727074220438612641743433433465797338122254,486.40244194588191240302714079836682161639820744813,122796.34982292077113541422692072102384057319745534,122796,26842.64304525688413541422692072102384057319745534,27.974576435545601182891523860817653453641658849071,WDI calendar-year CPI proxy; PIP survey factor unavailable
7,1375,1996,487.54274879978499,121398.14445114648,13.4734377099679,0.013059991018647085915742127453646840718824915619698,627.15438987794079525182564449611396204637840998161,158330,0.013059991018647085915742127453646840718824915619698,627.15438987794079525182564449611396204637840998161,158330.35201126846993461714916674810400162528275328,158330,36932.20756012198993461714916674810400162528275328,30.422382258885673937082550434480088115880633988594,WDI calendar-year CPI proxy; PIP survey factor unavailable
8,1376,1997,553.70053104010105,137871.43222898518,15.8109748350774,0.015325798343907428254371201632683881968228245864422,735.96082080317620197546727861568285038184191696285,185799,0.015325798343907428254371201632683881968228245864422,735.96082080317620197546727861568285038184191696285,185799.44221860185865705651004718426626931584061992,185799,47928.00998961667865705651004718426626931584061992,34.762828828828696354057762894050205123278743581927,WDI calendar-year CPI proxy; PIP survey factor unavailable
9,1377,1998,598.91504111875201,149129.84523856925,18.6357848195023,0.018063926045249783185578315277279688035575287199924,867.44856880326209518127753324848246976795614525317,218995,0.018270342962262306,877.36092444459735613446093750,221497.07671707564086744578417968750000000000000000,221497,72367.23147850639086744578417968750000000000000000,48.526323729993486073983580821216857103069545291645,PIP survey-specific CPI factor
10,1378,1999,777.81131360294501,193675.01708713331,22.3761187395983,0.021689483861652913126162810843767337799956939185899,1041.5516364904442216300752293368297716195282685458,262948,0.021689483861652913126162810843767337799956939185899,1041.5516364904442216300752293368297716195282685458,262948.39022898339745235940893966048276011340746329,262948,69273.37314185008745235940893966048276011340746329,35.767841502595238308715079084716959588278655704293,WDI calendar-year CPI proxy; PIP survey factor unavailable
