variable,label,group,core,n98,n99,mean98,mean99,diff,sd98,sd99,smd,abs_smd
employed_1,HEmployed = 1,Supplementary model covariate,0,5686,5799,.84484994,.81881738,-.02603258,.3620795,.38520265,-.069639362,.069639362
kids_0,Children: 0,Children group,0,5686,5799,.28458655,.31366166,.029075131,.45125699,.46402064,.063526742,.063526742
age_25_34,Age 25-34,Age group,1,5686,5799,.21509828,.23940969,.024311408,.41092664,.42675999,.058033794,.058033794
province_9,Province share (code 9),"Province, not plotted",0,5686,5799,.074578807,.090275183,.015696375,.26273361,.28660032,.057093076,.057093076
NKids,Number of children,Supplementary model covariate,0,5686,5799,1.2102938,1.1516948,-.058598932,1.038757,1.0188426,-.056955874,.056955874
province_30,Province share (code 30),"Province, not plotted",0,5686,5799,.020642268,.029531425,.0088891583,.14219606,.16930524,.0568581,.0568581
province_26,Province share (code 26),"Province, not plotted",0,5686,5799,.022973005,.015430572,-.0075424332,.14983055,.12326837,-.054976486,.054976486
marital_2,HMarritalState = 2,Supplementary model covariate,0,5686,5799,.036097489,.046954319,.010856828,.18654914,.21155928,.054434754,.054434754
marital_4,HMarritalState = 4,Supplementary model covariate,0,5686,5799,.011793631,.01807867,.0062850383,.10796569,.13324749,.051828001,.051828001
marital_1,HMarritalState = 1,Supplementary model covariate,0,5686,5799,.92696792,.91403133,-.012936596,.260212,.28034192,-.047831066,.047831066
base_age,"Head age, aligned to 1398",Age,1,5686,5799,41.714619,41.351192,-.36342588,7.8868027,8.0944214,-.04547777,.04547777
kids_3plus,Children: 3+,Children group,0,5686,5799,.099590011,.086385638,-.013204372,.29947892,.28095689,-.045474987,.045474987
province_6,Province share (code 6),"Province, not plotted",0,5686,5799,.056433603,.046476454,-.0099571496,.23077743,.21053274,-.045077994,.045077994
province_2,Province share (code 2),"Province, not plotted",0,5686,5799,.046236802,.055610597,.0093737943,.210016,.22918795,.042644773,.042644773
Size,Household size,Supplementary model covariate,0,5686,5799,3.8070002,3.7622252,-.044774875,1.2450401,1.2418936,-.036008067,.036008067
province_8,Province share (code 8),"Province, not plotted",0,5686,5799,.04975377,.042350344,-.0074034282,.21745494,.20140453,-.035324488,.035324488
kids_1,Children: 1,Children group,0,5686,5799,.34921056,.33259046,-.016620092,.47676253,.47118184,-.035064936,.035064936
marital_3,HMarritalState = 3,Supplementary model covariate,0,5686,5799,.025140937,.020935666,-.0042052702,.15656686,.14318135,-.028030749,.028030749
age_35_44,Age 35-44,Age group,1,5686,5799,.3860307,.37333199,-.012698729,.48688057,.48373088,-.026166314,.026166314
edu_12,Education: 12 years,Education group,1,5686,5799,.23339558,.22273897,-.010656606,.42302901,.41612038,-.025397729,.025397729
province_13,Province share (code 13),"Province, not plotted",0,5686,5799,.018145602,.015087367,-.003058234,.13348959,.12191104,-.02392395,.02392395
age_45_55,Age 45-55,Age group,1,5686,5799,.398871,.38725832,-.011612679,.4897092,.48716551,-.023775086,.023775086
edu_13plus,Education: 13+ years,Education group,1,5686,5799,.18735076,.1965555,.0092047416,.39022717,.39742756,.023371553,.023371553
female_head,Female head (HSex = 2),Demographic,1,5686,5799,.075414516,.081247963,.0058334428,.26408225,.27323911,.021709898,.021709898
province_18,Province share (code 18),"Province, not plotted",0,5686,5799,.012247862,.014725731,.0024778685,.10999991,.12046321,.021481255,.021481255
province_11,Province share (code 11),"Province, not plotted",0,5686,5799,.04223948,.038651507,-.0035879749,.20115274,.1927796,-.018212086,.018212086
province_21,Province share (code 21),"Province, not plotted",0,5686,5799,.018623421,.016260717,-.0023627034,.13520283,.12648742,-.018047247,.018047247
province_0,Province share (code 0),"Province, not plotted",0,5686,5799,.018118009,.015792754,-.0023252545,.13338993,.12468369,-.018009841,.018009841
province_19,Province share (code 19),"Province, not plotted",0,5686,5799,.010862442,.012750845,.0018884032,.10366455,.11220709,.017481929,.017481929
province_20,Province share (code 20),"Province, not plotted",0,5686,5799,.0072052036,.0058478271,-.0013573765,.084584557,.076253742,-.016856175,.016856175
rural,Rural (Region = 2),Location,1,5686,5799,.27447224,.26825684,-.0062153833,.44628718,.44309026,-.01397684,.01397684
province_17,Province share (code 17),"Province, not plotted",0,5686,5799,.01105742,.012544125,.0014867056,.10458048,.11130547,.013766388,.013766388
province_5,Province share (code 5),"Province, not plotted",0,5686,5799,.019942263,.021840166,.0018979025,.13981418,.14617406,.01326931,.01326931
province_7,Province share (code 7),"Province, not plotted",0,5686,5799,.063363656,.06653899,.0031753292,.24363732,.24924338,.012883944,.012883944
province_23,Province share (code 23),"Province, not plotted",0,5686,5799,.15541497,.15116167,-.0042532999,.36233169,.35823727,-.011805203,.011805203
edu_none,Education: 0 years,Education group,1,5686,5799,.062433355,.06516812,.0027347659,.24196224,.24684356,.011189022,.011189022
hliterate_1,HLiterate = 1,Education,1,5686,5799,.93756664,.93483186,-.0027347659,.24196224,.24684356,-.011189022,.011189022
province_16,Province share (code 16),"Province, not plotted",0,5686,5799,.007933992,.0069769672,-.00095702475,.088726707,.083243519,-.011124468,.011124468
province_25,Province share (code 25),"Province, not plotted",0,5686,5799,.01774531,.019070283,.0013249712,.13203591,.1367839,.0098561533,.0098561533
province_3,Province share (code 3),"Province, not plotted",0,5686,5799,.048176493,.046355858,-.0018206345,.21415785,.21027271,-.0085788267,.0085788267
province_29,Province share (code 29),"Province, not plotted",0,5686,5799,.011258156,.010497289,-.00076086662,.10551477,.10192589,-.0073346542,.0073346542
province_12,Province share (code 12),"Province, not plotted",0,5686,5799,.028498249,.027440768,-.001057481,.16640604,.16337802,-.0064129024,.0064129024
province_28,Province share (code 28),"Province, not plotted",0,5686,5799,.012612867,.013313952,.0007010845,.11160633,.11462529,.0061973836,.0061973836
province_15,Province share (code 15),"Province, not plotted",0,5686,5799,.026571164,.027181424,.00061026087,.16084056,.16262582,.0037731996,.0037731996
province_1,Province share (code 1),"Province, not plotted",0,5686,5799,.024025958,.023465037,-.00056092022,.15314318,.15138818,-.0036837643,.0036837643
HEduYears,Education years,Education,1,5686,5799,9.1965609,9.2135735,.017012844,4.6502156,4.7399526,.0036233785,.0036233785
province_10,Province share (code 10),"Province, not plotted",0,5686,5799,.054200348,.053421907,-.00077844062,.22643252,.22489271,-.0034495571,.0034495571
edu_6_11,Education: 6-11 years,Education group,1,5686,5799,.25236699,.25092602,-.0014409814,.43440887,.43358341,-.0033202618,.0033202618
province_4,Province share (code 4),"Province, not plotted",0,5686,5799,.033178963,.033759557,.00058059418,.17911941,.18062523,.0032277845,.0032277845
province_14,Province share (code 14),"Province, not plotted",0,5686,5799,.015411851,.015037107,-.00037474366,.12319495,.12171092,-.0030602517,.0030602517
province_27,Province share (code 27),"Province, not plotted",0,5686,5799,.025633443,.025993725,.0003602826,.15805304,.15913019,.00227175,.00227175
province_24,Province share (code 24),"Province, not plotted",0,5686,5799,.019077433,.018771991,-.00030544176,.13680927,.13573055,-.0022414294,.0022414294
kids_2,Children: 2,Children group,0,5686,5799,.26661289,.26736224,.00074933405,.44222715,.44262111,.0016937006,.0016937006
edu_1_5,Education: 1-5 years,Education group,1,5686,5799,.26445332,.26461142,.0001580805,.44108048,.44116411,.0003583598,.0003583598
province_22,Province share (code 22),"Province, not plotted",0,5686,5799,.027837195,.027837873,6.7707788e-07,.16452065,.16452232,4.1154376e-06,4.1154376e-06
